status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_parallel_pipelined,small,6,4,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,150.06,150060000.000000,329,220,122,53,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,4,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,126.65,126650000.000000,377,236,154,69,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,4,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,120.96,120960000.000000,401,260,154,69,0,0,3,174,0,0,
ok,conv1d_parallel_pipelined,small,6,6,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,182.92,182920000.000000,233,156,90,37,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,6,6,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,186.50,186500000.000000,257,180,90,37,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,6,6,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,142.15,142150000.000000,305,196,122,53,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,6,6,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,150.06,150060000.000000,329,220,122,53,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,6,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,126.65,126650000.000000,377,236,154,69,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,6,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,120.96,120960000.000000,401,260,154,69,0,0,3,174,0,0,
ok,conv1d_parallel_pipelined,small,6,8,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,182.92,182920000.000000,233,156,90,37,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,6,8,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,186.50,186500000.000000,257,180,90,37,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,6,8,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,142.15,142150000.000000,305,196,122,53,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,6,8,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,150.06,150060000.000000,329,220,122,53,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,8,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,126.65,126650000.000000,377,236,154,69,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,8,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,120.96,120960000.000000,401,260,154,69,0,0,3,174,0,0,
ok,conv1d_parallel_pipelined,small,8,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,185.05,185050000.000000,263,178,100,41,0,0,3,118,0,0,
ok,conv1d_parallel_pipelined,small,8,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,183.15,183150000.000000,295,210,100,41,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,8,4,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,158.91,158910000.000000,335,218,132,57,0,0,3,142,0,0,
ok,conv1d_parallel_pipelined,small,8,4,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,142.15,142150000.000000,367,250,132,57,0,0,3,174,0,0,
ok,conv1d_parallel_pipelined,small,8,4,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,407,258,164,73,0,0,3,166,0,0,
ok,conv1d_parallel_pipelined,small,8,4,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,439,290,164,73,0,0,3,198,0,0,
ok,conv1d_parallel_pipelined,small,8,6,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,185.05,185050000.000000,263,178,100,41,0,0,3,118,0,0,
ok,conv1d_parallel_pipelined,small,8,6,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,183.15,183150000.000000,295,210,100,41,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,8,6,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,158.91,158910000.000000,335,218,132,57,0,0,3,142,0,0,
ok,conv1d_parallel_pipelined,small,8,6,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,142.15,142150000.000000,367,250,132,57,0,0,3,174,0,0,
ok,conv1d_parallel_pipelined,small,8,6,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,407,258,164,73,0,0,3,166,0,0,
ok,conv1d_parallel_pipelined,small,8,6,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,439,290,164,73,0,0,3,198,0,0,
